PlotID,Date\Time, Speed, Direction, Gust
S8, 2012-11-07 20:01:47, 10.13, 327.1, 10.13
S8, 2012-11-07 20:01:50, 9.01, 318.7, 9.01
S8, 2012-11-07 20:01:53, 9.01, 331.3, 9.01
S8, 2012-11-07 20:01:56, 9.01, 331.3, 9.01
S8, 2012-11-07 20:01:59, 8.46, 329.9, 8.46
S8, 2012-11-07 20:02:02, 9.01, 324.3, 9.01
S8, 2012-11-07 20:02:05, 6.2, 321.5, 6.2
S8, 2012-11-07 20:02:08, 6.2, 318.7, 6.2
S8, 2012-11-07 20:02:11, 5.64, 314.5, 5.64
S8, 2012-11-07 20:02:14, 8.46, 315.9, 8.46
S8, 2012-11-07 20:02:17, 6.76, 308.9, 6.76
S8, 2012-11-07 20:02:20, 8.46, 320.1, 8.46
S8, 2012-11-07 20:02:23, 9.57, 327.1, 9.57
S8, 2012-11-07 20:02:26, 7.9, 320.1, 7.9
S8, 2012-11-07 20:02:29, 8.46, 320.1, 8.46
S8, 2012-11-07 20:02:32, 8.46, 324.3, 8.46
S8, 2012-11-07 20:02:35, 7.31, 315.9, 7.31
S8, 2012-11-07 20:02:38, 6.76, 315.9, 6.76
S8, 2012-11-07 20:02:41, 5.64, 315.9, 5.64
S8, 2012-11-07 20:02:44, 5.08, 315.9, 5.08
S8, 2012-11-07 20:02:47, 4.5, 315.9, 4.5
S8, 2012-11-07 20:02:50, 5.08, 315.9, 5.08
S8, 2012-11-07 20:02:53, 5.64, 315.9, 5.64
S8, 2012-11-07 20:02:56, 4.5, 315.9, 4.5
S8, 2012-11-07 20:02:59, 5.08, 307.5, 5.08
S8, 2012-11-07 20:03:02, 3.94, 307.5, 3.94
S8, 2012-11-07 20:03:05, 4.5, 310.3, 4.5
S8, 2012-11-07 20:03:08, 4.5, 313.1, 4.5
S8, 2012-11-07 20:03:11, 5.08, 307.5, 5.08
S8, 2012-11-07 20:03:14, 4.5, 310.3, 4.5
S8, 2012-11-07 20:03:17, 5.64, 313.1, 5.64
S8, 2012-11-07 20:03:20, 7.31, 324.3, 7.31
S8, 2012-11-07 20:03:23, 6.76, 331.3, 6.76
S8, 2012-11-07 20:03:26, 3.94, 344, 3.94
S8, 2012-11-07 20:03:29, 5.08, 1.4, 5.08
S8, 2012-11-07 20:03:32, 4.5, 1.4, 4.5
S8, 2012-11-07 20:03:35, 7.31, 327.1, 7.31
S8, 2012-11-07 20:03:38, 12.95, 331.3, 12.95
S8, 2012-11-07 20:03:41, 11.27, 324.3, 11.27
S8, 2012-11-07 20:03:44, 10.69, 318.7, 10.69
S8, 2012-11-07 20:03:47, 10.69, 313.1, 10.69
S8, 2012-11-07 20:03:50, 9.57, 318.7, 9.57
S8, 2012-11-07 20:03:53, 9.01, 327.1, 9.01
S8, 2012-11-07 20:03:56, 7.9, 306.1, 7.9
S8, 2012-11-07 20:03:59, 8.46, 313.1, 8.46
S8, 2012-11-07 20:04:02, 9.01, 315.9, 9.01
S8, 2012-11-07 20:04:05, 8.46, 332.7, 8.46
S8, 2012-11-07 20:04:08, 7.31, 324.3, 7.31
S8, 2012-11-07 20:04:11, 6.76, 324.3, 6.76
S8, 2012-11-07 20:04:14, 5.64, 329.9, 5.64
S8, 2012-11-07 20:04:17, 5.64, 320.1, 5.64
S8, 2012-11-07 20:04:20, 7.31, 310.3, 7.31
S8, 2012-11-07 20:04:23, 9.01, 292, 9.01
S8, 2012-11-07 20:04:26, 7.31, 304.7, 7.31
S8, 2012-11-07 20:04:29, 7.31, 304.7, 7.31
S8, 2012-11-07 20:04:32, 7.31, 314.5, 7.31
S8, 2012-11-07 20:04:35, 9.01, 314.5, 9.01
S8, 2012-11-07 20:04:38, 9.57, 315.9, 9.57
S8, 2012-11-07 20:04:41, 9.57, 315.9, 9.57
S8, 2012-11-07 20:04:44, 10.13, 310.3, 10.13
S8, 2012-11-07 20:04:47, 10.69, 313.1, 10.69
S8, 2012-11-07 20:04:50, 10.13, 327.1, 10.13
S8, 2012-11-07 20:04:53, 7.31, 301.8, 7.31
S8, 2012-11-07 20:04:56, 6.76, 283.6, 6.76
S8, 2012-11-07 20:04:59, 7.9, 283.6, 7.9
S8, 2012-11-07 20:05:02, 7.9, 293.4, 7.9
S8, 2012-11-07 20:05:05, 9.57, 275.2, 9.57
S8, 2012-11-07 20:05:08, 10.13, 278, 10.13
S8, 2012-11-07 20:05:11, 9.01, 261.1, 9.01
S8, 2012-11-07 20:05:14, 8.46, 292, 8.46
S8, 2012-11-07 20:05:17, 7.9, 285, 7.9
S8, 2012-11-07 20:05:20, 5.64, 299, 5.64
S8, 2012-11-07 20:05:23, 5.08, 261.1, 5.08
S8, 2012-11-07 20:05:26, 6.2, 262.5, 6.2
S8, 2012-11-07 20:05:29, 5.64, 296.2, 5.64
S8, 2012-11-07 20:05:32, 5.64, 282.2, 5.64
S8, 2012-11-07 20:05:35, 7.31, 292, 7.31
S8, 2012-11-07 20:05:38, 6.76, 271, 6.76
S8, 2012-11-07 20:05:41, 7.9, 262.5, 7.9
S8, 2012-11-07 20:05:44, 9.01, 285, 9.01
S8, 2012-11-07 20:05:47, 7.9, 283.6, 7.9
S8, 2012-11-07 20:05:50, 8.46, 278, 8.46
S8, 2012-11-07 20:05:53, 7.9, 278, 7.9
S8, 2012-11-07 20:05:56, 6.76, 275.2, 6.76
S8, 2012-11-07 20:05:59, 6.2, 275.2, 6.2
S8, 2012-11-07 20:06:02, 7.31, 279.4, 7.31
S8, 2012-11-07 20:06:05, 7.9, 285, 7.9
S8, 2012-11-07 20:06:08, 7.9, 287.8, 7.9
S8, 2012-11-07 20:06:11, 7.31, 290.6, 7.31
S8, 2012-11-07 20:06:14, 5.64, 290.6, 5.64
S8, 2012-11-07 20:06:17, 5.08, 287.8, 5.08
S8, 2012-11-07 20:06:20, 5.08, 297.6, 5.08
S8, 2012-11-07 20:06:23, 5.08, 293.4, 5.08
